Time	CPU	Thrtl	MotorC	PWM	PackV	Temp	RPM	In1	In2	In3	12V	Mode
16160	32.37	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16170	32.37	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16180	32.37	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16190	32.37	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16200	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16210	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16220	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16230	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16240	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16250	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16260	32.26	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16270	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16280	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16290	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16300	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16310	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16320	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16330	32.41	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16340	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16350	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16360	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16370	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16380	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16390	32.03	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16400	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16410	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16420	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16430	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16440	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16450	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16460	32.62	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16470	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16480	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16490	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16500	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16510	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16520	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16530	32.38	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16540	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16550	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16560	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16570	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16580	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16590	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16600	32.47	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16610	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16620	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16630	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16640	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16650	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16660	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16670	32.40	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16680	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16690	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16700	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16710	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16720	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16730	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16740	32.16	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16750	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16760	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16770	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16780	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16790	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16800	32.44	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16810	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16820	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16830	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16840	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16850	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16860	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16870	32.46	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16880	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16890	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16900	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16910	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16920	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16930	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16940	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16950	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16960	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16970	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16980	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
16990	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17000	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17010	32.43	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17020	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17030	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17040	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17050	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17060	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17070	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17080	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17090	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17100	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17110	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17120	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17130	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17140	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17150	32.34	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17160	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17170	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17180	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17190	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17200	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17210	32.65	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17220	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17230	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17240	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17250	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17260	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17270	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17280	31.96	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17290	32.51	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17300	32.51	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
17310	32.51	0	0	0.00	0	13.50	0	0.00	0.00	0.00	13.69	21	Error: Zero voltage after precharge
